user_profile_id,top_1_correct,top_3_overlap,top_5_overlap,top_10_overlap,ndcg_at_5,ndcg_at_10,reciprocal_rank
803,0,0.333333,0.8,0.8,0.988167,0.988944,0.5
811,1,1.0,0.8,0.9,0.992624,0.995828,1.0
812,0,0.333333,1.0,0.8,0.988259,0.987844,0.2
817,0,1.0,1.0,0.8,0.989391,0.980239,0.5
821,0,0.666667,0.6,0.9,0.992141,0.991805,0.5
823,1,0.666667,0.6,0.7,0.991815,0.990115,1.0
824,1,0.666667,1.0,1.0,0.999428,0.999476,1.0
827,0,0.666667,0.8,0.9,0.982436,0.984995,0.5
830,1,0.666667,0.6,0.9,0.991568,0.997312,1.0
838,1,0.666667,0.8,0.9,0.994408,0.997244,1.0
846,1,0.666667,0.8,0.9,0.995952,0.995852,1.0
850,1,0.666667,0.8,0.8,0.98829,0.992218,1.0
860,1,0.666667,0.8,0.9,0.994614,0.99644,1.0
866,0,0.666667,0.6,0.8,0.98593,0.987492,0.25
867,1,0.666667,0.8,0.7,0.990372,0.989568,1.0
868,1,1.0,0.8,0.6,0.988566,0.98945,1.0
880,0,1.0,0.8,0.9,0.982417,0.989343,0.5
884,1,0.666667,0.6,0.9,0.988521,0.99476,1.0
885,1,0.666667,0.6,0.9,0.982973,0.995966,1.0
893,0,0.333333,0.8,0.9,0.970347,0.983206,0.5
894,0,1.0,0.8,0.5,0.989347,0.982859,0.5
900,1,0.666667,0.8,0.9,0.998252,0.994728,1.0
902,1,0.666667,1.0,0.9,0.999212,0.997311,1.0
903,0,1.0,1.0,1.0,0.997141,0.997939,0.5
915,1,0.666667,0.8,0.9,0.989111,0.994902,1.0
918,0,1.0,0.8,0.9,0.991158,0.993413,0.5
925,1,1.0,0.8,0.8,0.992897,0.996645,1.0
937,1,0.666667,0.8,1.0,0.996742,0.998656,1.0
939,1,1.0,1.0,1.0,0.998847,0.999194,1.0
942,1,0.666667,0.4,0.8,0.972298,0.9807,1.0
943,0,0.666667,0.8,0.9,0.996888,0.998305,0.5
948,1,0.333333,0.2,0.7,0.964788,0.979425,1.0
949,0,1.0,0.8,0.8,0.998515,0.996654,0.5
960,1,0.333333,0.4,1.0,0.970199,0.991177,1.0
974,0,0.666667,1.0,0.8,0.996299,0.987051,0.5
975,1,0.666667,1.0,0.8,0.999108,0.99403,1.0
978,1,0.666667,0.8,0.9,0.994295,0.993186,1.0
979,0,0.666667,1.0,0.6,0.989478,0.981877,0.5
986,1,0.666667,1.0,0.9,0.999878,0.99502,1.0
987,0,0.333333,0.4,0.9,0.972297,0.983274,0.2
990,0,1.0,1.0,0.8,0.997614,0.992642,0.5
996,0,0.0,0.6,0.7,0.978232,0.975837,0.2
999,0,0.666667,0.8,0.8,0.983124,0.986658,0.5
