source_opentripmap_id,location_name,normalized_name,city,country,category_raw,latitude,longitude,opentripmap_rate,popularity_score,source_wikidata_id,source_osm_id,data_source
Q1543496,Collegium Russicum,collegium russicum,Rome,Italy,"religion,other_temples,interesting_places",41.896888732910156,12.500555992126465,3,3,Q1543496,,OpenTripMap
W317087906,San Lorenzo da Brindisi,san lorenzo da brindisi,Rome,Italy,"religion,churches,interesting_places,other_churches",41.90944290161133,12.495361328125,3,3,Q3670941,way/317087906,OpenTripMap
Q31898169,Sant'Agnese ad Duo Furna,sant'agnese ad duo furna,Rome,Italy,"religion,churches,interesting_places,other_churches",41.8963623046875,12.498861312866211,3,3,Q31898169,,OpenTripMap
W201506665,Giardini del Quirinale,giardini del quirinale,Rome,Italy,"cultural,museums,interesting_places,other_museums",41.901187896728516,12.487635612487793,3,3,Q26452821,way/201506665,OpenTripMap
W348319804,Santa Maria Annunziata delle Turchine,santa maria annunziata delle turchine,Rome,Italy,"religion,churches,interesting_places,other_churches",41.89607238769531,12.495809555053711,3,3,Q3673250,way/348319804,OpenTripMap
Q16586279,Palazzo Passarini Falletti,palazzo passarini falletti,Rome,Italy,"palaces,architecture,historic_architecture,interesting_places",41.89672088623047,12.492480278015137,3,3,Q16586279,,OpenTripMap
Q26256756,Santa Maria della Neve dei Foglianti,santa maria della neve dei foglianti,Rome,Italy,"religion,churches,interesting_places,other_churches",41.902557373046875,12.487333297729492,3,3,Q26256756,,OpenTripMap
W44448525,Basilica di Santa Prassede,basilica di santa prassede,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.896244049072266,12.498672485351562,7,7,Q733890,way/44448525,OpenTripMap
W498598422,Villa Carlo Alberto al Quirinale,villa carlo alberto al quirinale,Rome,Italy,"cultural,museums,interesting_places,other_museums",41.89965057373047,12.488329887390137,3,3,Q55619261,way/498598422,OpenTripMap
W338484112,San Giuseppe Calasanzio,san giuseppe calasanzio,Rome,Italy,"religion,churches,interesting_places,other_churches",41.9083366394043,12.491024017333984,3,3,Q951214,way/338484112,OpenTripMap
H323478,castro pretorio,castro pretorio,Rome,Italy,"campsites,guest_houses,historic,accomodations,fortifications,archaeology,interesting_places,other_fortifications,other_archaeological_sites",41.9056510925293,12.504752159118652,3,3,Q1049836,,OpenTripMap
W202313171,Santi Ildefonso e Tommaso da Villanova (Rome),santi ildefonso e tommaso da villanova (rome),Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.903778076171875,12.487252235412598,3,3,Q3668224,way/202313171,OpenTripMap
R5191888,Casino di Villa Sforza,casino di villa sforza,Rome,Italy,"religion,churches,monasteries,interesting_places,other_churches",41.89591598510742,12.496305465698242,3,3,Q3669999,relation/5191888,OpenTripMap
Q5002068,Bust of Giovanni Battista Santoni,bust of giovanni battista santoni,Rome,Italy,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",41.89611053466797,12.498611450195312,3,3,Q5002068,,OpenTripMap
